taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
England/QEUH-78AC4F/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Northern_Ireland/QEUH-7663F9/2020,C.36,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/VIC5593/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-UPHL-2009677/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-CZB-3619/2020,B.1.243,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-961C00/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/GC-243/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/GC-251/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S2776/2020,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-964BA6/2020,B.1.240,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-96A7D9/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/GC-291/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-974F10/2020,B.1.258.3,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/GC-316/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-9934A3/2020,B.1.160,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/QEUH-998D3A/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-99DF7B/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-9B5344/2020,B.1.1.241,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WI-UW-1722/2020,B.1.564,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-9C5851/2020,B.1.177.5,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-9E684B/2020,C.30,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-9EAB02/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-9F36D8/2020,C.30,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Iceland/6510/2020,B.1.177.45,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-9FD340/2020,AD.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/BS-UHB-42475558/2020,B.1.416.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-A703CC/2020,C.30,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-CZB-14156/2020,B.1.400,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CO-CDPHE-2010200764/2020,B.1.1.222,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-ACDA9E/2020,B.1.177.87,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-ABB85D/2020,B.1.177.69,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-AA1B60/2020,B.1.177.57,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-AD1BA3/2020,B.1.177.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-CZB-13519/2020,B.1.243,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMC-B090FD/2020,AD.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-AF559C/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-B1BF0A/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/JEKR/2020,B.1.349,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-B67691/2020,B.1.1.37,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/GA-QDX-3292/2020,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-B82A85/2020,B.1.610,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CT-CDC-2-3713968/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-BB4E24/2020,B.1.177.54,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMC-BC0423/2020,B.1.36.39,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-BC81F7/2020,B.1.1.311,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMC-BC05F3/2020,B.1.389,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-BC7D8B/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-CZB-17301/2020,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/JGEF/2020,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-C230ED/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-C235A2/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Wales/ALDP-C3973A/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/QEUH-C31028/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMC-C71F6B/2020,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
Wales/ALDP-CC0880/2020,B.1.177.7,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-CB55D2/2020,B.1.177.55,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/QEUH-CAD7F5/2020,B.1.177.8,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Japan/Donner170/2020,B.1.1.214,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-CEC97C/2020,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
OU032282,AD.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
EGY/CUNCI-HGC9I029/2020,C.36,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
EGY/CUNCI-HGC9I027/2020,C.36,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-UPHL-2102038636/2020,B.1.234,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/GA-CDC-STM-A100071/2021,B.1.234,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-F6DDFC/2021,B.1.351,,,Beta (B.1.351-like),0.857100,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 0; Oth alleles 2
England/QEUH-EF846B/2021,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
EGY/CUNCI-HGC12I048/2021,C.36,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-FBBFF9/2021,A.23.1,,,A.23.1-like+E484K,1.000000,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0
England/ALDP-1007561/2021,B.1.177,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/TG-ETHZ-450376/2021,B.1.160,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/AG-UHB-42638704/2021,B.1.177.86,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
OU384695,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
Switzerland/BE-ETHZ-461395/2021,B.1.160.26,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/BS-ETHZ-460276/2021,B.1.258,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WI-CDC-LC0008756/2021,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/GE-33058002/2021,C.16,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S4379/2021,B.1.596,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/MILK-11D1277/2021,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
USA/AZ-CDC-STM-000007204/2021,B.1.609,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW-60732/2021,B.1.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/GE-33128083/2021,B.1.160,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Estonia/Cov8367/2021,B.1.351,,,Beta (B.1.351-like),0.857100,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 0; Oth alleles 2
England/ALDP-12A039B/2021,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
England/MILK-12B4B9C/2021,B.1.1.7,,,Alpha (B.1.1.7-like),0.956500,0.043500,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0
USA/FL-CDC-QDX22120927/2021,C.37,,,Lambda (C.37-like),0.947400,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 18; Ref alleles 0; Amb alleles 0; Oth alleles 1
England/CAMC-13B7C2C/2021,B.1.617.1,,,B.1.617.1-like,1.000000,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 0; Oth alleles 0
England/CAMC-13D37CF/2021,B.1.617.1,,,B.1.617.1-like,1.000000,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 0; Oth alleles 0
USA/NY-CDCBI-CRSP_01440/2021,B.1.575,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/NJ-CDC-ASC210005619/2021,C.37,,,Lambda (C.37-like),0.947400,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 18; Ref alleles 0; Amb alleles 0; Oth alleles 1
USA/FL-CDC-FG-013012/2021,P.1.10,,,Gamma (P.1-like),0.812500,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 1; Oth alleles 2
USA/CT-CDC-QDX23007639/2021,B.1.526,,,Iota (B.1.526-like),0.826100,0.173900,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0
England/CAMC-141CD8B/2021,C.36.3,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/NY-PRL-2021_0329_00H12/2021,B.1.526,,,Iota (B.1.526-like),0.826100,0.173900,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0
England/CAMC-1484B0C/2021,B.1.617.1,,,B.1.617.1-like,1.000000,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 0; Oth alleles 0
USA/FL-CDC-QDX23271711/2021,C.37,,,Lambda (C.37-like),0.947400,0.000000,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,scorpio call: Alt alleles 18; Ref alleles 0; Amb alleles 0; Oth alleles 1
